MEASURE:Migration type,SEX_ABS:Sex,AGE:Age,ASGS_2011:Region,FREQUENCY:Frequency,TIME:Time,Value,Flag Codes:Flags
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2004:2004,10080,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2005:2005,10680,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2006:2006,11840,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2007:2007,13250,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2008:2008,15470,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2009:2009,13680,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2010:2010,13850,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2011:2011,15180,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2012:2012,16260,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2013:2013,15390,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2014:2014,14630,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2015:2015,14610,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2016:2016,15710,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2017:2017,15120,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2018:2018,14130,
1:NOM arrival,1:Males,A04:0 - 4,0:Australia,A:Annual,2019:2019,14470,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2004:2004,3600,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2005:2005,3660,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2006:2006,3830,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2007:2007,4030,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2008:2008,4530,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2009:2009,4150,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2010:2010,4280,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2011:2011,4470,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2012:2012,4610,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2013:2013,4670,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2014:2014,4790,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2015:2015,4820,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2016:2016,5510,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2017:2017,5260,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2018:2018,4830,
1:NOM arrival,1:Males,A04:0 - 4,1:New South Wales,A:Annual,2019:2019,4960,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2004:2004,2480,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2005:2005,2550,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2006:2006,2750,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2007:2007,3090,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2008:2008,3720,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2009:2009,3350,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2010:2010,3380,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2011:2011,3720,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2012:2012,3980,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2013:2013,3930,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2014:2014,3890,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2015:2015,4120,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2016:2016,4350,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2017:2017,4420,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2018:2018,4110,
1:NOM arrival,1:Males,A04:0 - 4,2:Victoria,A:Annual,2019:2019,4170,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2004:2004,1880,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2005:2005,2080,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2006:2006,2390,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2007:2007,2880,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2008:2008,3330,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2009:2009,2780,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2010:2010,2740,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2011:2011,3090,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2012:2012,3230,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2013:2013,2800,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2014:2014,2450,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2015:2015,2360,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2016:2016,2590,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2017:2017,2410,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2018:2018,2350,
1:NOM arrival,1:Males,A04:0 - 4,3:Queensland,A:Annual,2019:2019,2450,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2004:2004,490,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2005:2005,600,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2006:2006,740,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2007:2007,760,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2008:2008,790,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2009:2009,880,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2010:2010,840,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2011:2011,800,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2012:2012,900,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2013:2013,900,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2014:2014,850,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2015:2015,860,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2016:2016,840,
1:NOM arrival,1:Males,A04:0 - 4,4:South Australia,A:Annual,2017:2017,840,
